=======================================================
Budget: 1000
So luong quang cao: 100

ID   Cost        Profit      Ratio          
-------------------------------------------------------
1    157         259         1.6497         
2    27          386         14.2963        
3    81          162         2.0000         
4    140         447         3.1929         
5    175         299         1.7086         
6    148         253         1.7095         
7    144         487         3.3819         
8    107         323         3.0187         
9    103         301         2.9223         
10   18          54          3.0000         
11   132         234         1.7727         
12   121         466         3.8512         
13   103         25          0.2427         
14   25          284         11.3600        
15   190         128         0.6737         
16   90          185         2.0556         
17   138         293         2.1232         
18   138         81          0.5870         
19   100         485         4.8500         
20   109         369         3.3853         
21   80          455         5.6875         
22   109         295         2.7064         
23   57          127         2.2281         
24   121         208         1.7190         
25   100         297         2.9700         
26   151         351         2.3245         
27   196         328         1.6735         
28   41          350         8.5366         
29   185         289         1.5622         
30   24          27          1.1250         
31   59          214         3.6271         
32   118         211         1.7881         
33   99          129         1.3030         
34   161         209         1.2981         
35   76          342         4.5000         
36   128         476         3.7188         
37   70          94          1.3429         
38   167         96          0.5749         
39   85          344         4.0471         
40   126         28          0.2222         
41   151         321         2.1258         
42   33          207         6.2727         
43   84          497         5.9167         
44   103         156         1.5146         
45   157         371         2.3631         
46   86          338         3.9302         
47   64          117         1.8281         
48   153         323         2.1111         
49   50          127         2.5400         
50   141         304         2.1560         
51   39          120         3.0769         
52   49          345         7.0408         
53   22          38          1.7273         
54   172         219         1.2733         
55   89          337         3.7865         
56   61          480         7.8689         
57   133         433         3.2556         
58   141         433         3.0709         
59   57          349         6.1228         
60   184         22          0.1196         
61   196         491         2.5051         
62   39          219         5.6154         
63   29          325         11.2069        
64   74          485         6.5541         
65   156         219         1.4038         
66   45          158         3.5111         
67   88          245         2.7841         
68   64          320         5.0000         
69   184         132         0.7174         
70   63          450         7.1429         
71   147         387         2.6327         
72   145         138         0.9517         
73   109         195         1.7890         
74   124         30          0.2419         
75   62          191         3.0806         
76   145         225         1.5517         
77   19          455         23.9474        
78   189         489         2.5873         
79   57          138         2.4211         
80   56          188         3.3571         
81   32          437         13.6562        
82   55          42          0.7636         
83   79          223         2.8228         
84   85          157         1.8471         
85   57          152         2.6667         
86   101         236         2.3366         
87   191         22          0.1152         
88   76          233         3.0658         
89   41          105         2.5610         
90   18          340         18.8889        
91   161         309         1.9193         
92   133         167         1.2556         
93   11          62          5.6364         
94   98          394         4.0204         
95   163         438         2.6871         
96   76          180         2.3684         
97   89          476         5.3483         
98   61          222         3.6393         
99   156         249         1.5962         
100  85          410         4.8235         
=======================================================

=======================================================
Budget: 1000
So luong quang cao: 50

ID   Cost        Profit      Ratio          
-------------------------------------------------------
1    157         259         1.6497         
2    27          386         14.2963        
3    81          162         2.0000         
4    140         447         3.1929         
5    175         299         1.7086         
6    148         253         1.7095         
7    144         487         3.3819         
8    107         323         3.0187         
9    103         301         2.9223         
10   18          54          3.0000         
11   132         234         1.7727         
12   121         466         3.8512         
13   103         25          0.2427         
14   25          284         11.3600        
15   190         128         0.6737         
16   90          185         2.0556         
17   138         293         2.1232         
18   138         81          0.5870         
19   100         485         4.8500         
20   109         369         3.3853         
21   80          455         5.6875         
22   109         295         2.7064         
23   57          127         2.2281         
24   121         208         1.7190         
25   100         297         2.9700         
26   151         351         2.3245         
27   196         328         1.6735         
28   41          350         8.5366         
29   185         289         1.5622         
30   24          27          1.1250         
31   59          214         3.6271         
32   118         211         1.7881         
33   99          129         1.3030         
34   161         209         1.2981         
35   76          342         4.5000         
36   128         476         3.7188         
37   70          94          1.3429         
38   167         96          0.5749         
39   85          344         4.0471         
40   126         28          0.2222         
41   151         321         2.1258         
42   33          207         6.2727         
43   84          497         5.9167         
44   103         156         1.5146         
45   157         371         2.3631         
46   86          338         3.9302         
47   64          117         1.8281         
48   153         323         2.1111         
49   50          127         2.5400         
50   141         304         2.1560         
=======================================================

